first_name,last_name,gender,date_of_birth,time_entered,time_modified
Jacqueline,Willis,F,12/23/2007,7/22/2014,8/11/2013
Doris,Little,F,7/14/1998,7/22/2014,6/27/2014
Amy,Dunn,F,8/17/1998,7/22/2014,5/18/2014
Robin,Alexander,F,7/8/2008,7/22/2014,4/12/2014
Teresa,Palmer,F,7/23/2001,7/22/2014,1/22/2014
Robin,Lawrence,F,1/14/1999,7/22/2014,11/24/2013
Carolyn,Thompson,F,9/6/2007,7/22/2014,6/6/2014
Jennifer,Parker,F,8/24/1999,7/22/2014,1/25/2014
Mildred,Mitchell,F,9/16/1999,7/22/2014,9/7/2013
Marie,West,F,2/5/1997,7/22/2014,12/20/2013
Ashley,Fernandez,F,3/12/2005,7/22/2014,11/5/2013
Emily,Tucker,F,5/1/2008,7/22/2014,12/29/2013
Ashley,Hicks,F,5/11/2002,7/22/2014,7/16/2014
Lisa,Reyes,F,10/8/1998,7/22/2014,1/29/2014
Shirley,Green,F,5/24/1998,7/22/2014,11/28/2013
Judith,Wright,F,10/25/1996,7/22/2014,1/11/2014
Laura,Greene,F,2/4/2002,7/22/2014,9/10/2013
Kathryn,Ferguson,F,9/17/2008,7/22/2014,10/12/2013
Melissa,Hunt,F,2/15/2007,7/22/2014,7/25/2013
Rachel,Wilson,F,5/29/2001,7/22/2014,12/7/2013
Margaret,Diaz,F,11/28/1998,7/22/2014,12/10/2013
Catherine,Armstrong,F,4/29/1999,7/22/2014,3/28/2014
Rose,Lopez,F,1/14/2001,7/22/2014,12/12/2013
Louise,Day,F,1/3/2004,7/22/2014,6/18/2014
Deborah,Cox,F,2/2/2005,7/22/2014,11/7/2013
Dorothy,Gordon,F,3/18/2001,7/22/2014,8/20/2013
Laura,Wheeler,F,10/18/2006,7/22/2014,3/13/2014
Marilyn,Stewart,F,2/17/2004,7/22/2014,9/20/2013
Pamela,Bradley,F,7/5/2003,7/22/2014,9/25/2013
Kathryn,Washington,F,11/1/2000,7/22/2014,1/15/2014
Irene,Sims,F,11/16/1999,7/22/2014,3/30/2014
Evelyn,Larson,F,3/1/2008,7/22/2014,6/14/2014
Kimberly,Bennett,F,5/27/2001,7/22/2014,12/16/2013
Sarah,Mccoy,F,7/1/1998,7/22/2014,10/26/2013
Sarah,Fox,F,2/6/2004,7/22/2014,2/14/2014
Jean,Myers,F,11/6/2000,7/22/2014,6/15/2014
Annie,Mills,F,7/14/2005,7/22/2014,6/26/2014
Frances,Olson,F,6/14/1997,7/22/2014,11/30/2013
Cynthia,Franklin,F,10/9/2004,7/22/2014,1/20/2014
Irene,Banks,F,3/16/2003,7/22/2014,8/13/2013
Melissa,Boyd,F,5/7/1997,7/22/2014,12/6/2013
Irene,Rogers,F,5/9/2005,7/22/2014,4/1/2014
Judith,Torres,F,1/13/2002,7/22/2014,12/27/2013
Diane,Willis,F,6/19/1999,7/22/2014,10/11/2013
Sarah,Fowler,F,4/17/1997,7/22/2014,6/16/2014
Debra,Andrews,F,7/21/2001,7/22/2014,6/28/2014
Susan,Williams,F,8/25/2001,7/22/2014,4/10/2014
Marilyn,Lopez,F,10/29/2007,7/22/2014,8/2/2013
Tina,Murphy,F,11/9/1999,7/22/2014,12/28/2013
Phyllis,Armstrong,F,7/22/1996,7/22/2014,10/19/2013
Tammy,Mason,F,6/15/2006,7/22/2014,6/24/2014
Rebecca,Larson,F,3/5/2000,7/22/2014,8/31/2013
Kimberly,Willis,F,11/8/2007,7/22/2014,1/20/2014
Joan,Flores,F,8/1/2004,7/22/2014,9/10/2013
Sharon,Reyes,F,5/26/2006,7/22/2014,6/23/2014
Mary,Weaver,F,1/1/2009,7/22/2014,11/22/2013
Sarah,Garza,F,6/19/2007,7/22/2014,4/25/2014
Virginia,Jordan,F,12/13/2002,7/22/2014,5/4/2014
Virginia,Mccoy,F,9/25/2000,7/22/2014,2/2/2014
Mary,Brown,F,1/4/2000,7/22/2014,8/6/2013
Bonnie,Cooper,F,9/26/2005,7/22/2014,10/13/2013
Sara,Meyer,F,8/18/1996,7/22/2014,3/3/2014
Katherine,Carpenter,F,2/6/2002,7/22/2014,1/15/2014
Gloria,Richardson,F,8/8/2005,7/22/2014,2/7/2014
Martha,Cunningham,F,4/28/1998,7/22/2014,12/5/2013
Kathleen,Gomez,F,8/3/2007,7/22/2014,3/7/2014
Martha,Fields,F,9/16/1996,7/22/2014,12/20/2013
Cynthia,Nguyen,F,9/11/2008,7/22/2014,2/8/2014
Pamela,Castillo,F,2/26/1999,7/22/2014,6/5/2014
Joan,Stevens,F,7/5/2000,7/22/2014,6/16/2014
Rose,Simmons,F,7/7/2007,7/22/2014,8/5/2013
Angela,Wheeler,F,10/28/2004,7/22/2014,1/13/2014
Catherine,Garrett,F,8/15/2001,7/22/2014,1/29/2014
Sarah,Hill,F,5/20/2003,7/22/2014,12/20/2013
Sandra,Dean,F,1/19/2007,7/22/2014,3/16/2014
Deborah,Cruz,F,2/5/1998,7/22/2014,1/9/2014
Louise,Richards,F,7/3/2005,7/22/2014,6/3/2014
Brenda,Butler,F,1/26/2002,7/22/2014,8/8/2013
Beverly,Richardson,F,11/18/2006,7/22/2014,3/15/2014
Karen,Howell,F,4/13/1998,7/22/2014,3/5/2014
Linda,Griffin,F,10/7/2006,7/22/2014,3/28/2014
Annie,Clark,F,4/7/1999,7/22/2014,12/30/2013
Jennifer,Mills,F,3/15/2000,7/22/2014,3/18/2014
Phyllis,Grant,F,12/15/2002,7/22/2014,2/25/2014
Brenda,Lopez,F,10/23/1998,7/22/2014,5/17/2014
Nicole,Baker,F,2/25/2007,7/22/2014,6/10/2014
Joyce,Fuller,F,4/27/1999,7/22/2014,6/12/2014
Mary,Medina,F,2/3/2005,7/22/2014,10/7/2013
Mildred,Hawkins,F,11/5/1996,7/22/2014,2/8/2014
Cynthia,Adams,F,10/24/2006,7/22/2014,1/27/2014
Pamela,Henderson,F,1/31/2000,7/22/2014,9/22/2013
Emily,Jordan,F,3/6/2001,7/22/2014,4/9/2014
Angela,Sullivan,F,11/25/2007,7/22/2014,8/29/2013
Joyce,Young,F,1/21/1998,7/22/2014,6/28/2014
Rebecca,Robinson,F,9/10/2007,7/22/2014,5/26/2014
Jacqueline,Spencer,F,11/28/2002,7/22/2014,5/15/2014
Louise,Webb,F,11/8/1996,7/22/2014,2/9/2014
Anna,Pierce,F,2/22/2008,7/22/2014,11/2/2013
Lisa,Alvarez,F,9/17/2004,7/22/2014,1/15/2014
Gloria,Cook,F,3/9/2006,7/22/2014,4/7/2014
Kathleen,Morrison,F,12/9/2003,7/22/2014,1/16/2014
Linda,Adams,F,8/2/2002,7/22/2014,3/12/2014
Jennifer,Kennedy,F,9/17/2000,7/22/2014,4/11/2014
Deborah,Gilbert,F,4/1/2001,7/22/2014,2/27/2014
Kelly,Hamilton,F,2/9/2004,7/22/2014,10/4/2013
Lillian,Allen,F,10/1/2006,7/22/2014,2/22/2014
Tina,Edwards,F,7/14/2005,7/22/2014,7/6/2014
Doris,Scott,F,11/21/2001,7/22/2014,11/23/2013
Ashley,Ramos,F,6/25/1996,7/22/2014,11/8/2013
Dorothy,Young,F,11/21/2003,7/22/2014,5/20/2014
Kimberly,Chavez,F,2/1/1997,7/22/2014,9/20/2013
Janice,Montgomery,F,1/10/2004,7/22/2014,11/3/2013
Michelle,Gonzales,F,12/14/2000,7/22/2014,6/5/2014
Diane,Schmidt,F,4/7/1998,7/22/2014,5/4/2014
Angela,Carpenter,F,8/2/2006,7/22/2014,10/23/2013
Amy,Medina,F,4/12/2000,7/22/2014,3/14/2014
Sandra,Meyer,F,1/24/2009,7/22/2014,9/29/2013
Tammy,Bishop,F,10/12/2004,7/22/2014,9/5/2013
Jane,Mccoy,F,4/22/2005,7/22/2014,10/27/2013
Nicole,Baker,F,12/18/2004,7/22/2014,5/31/2014
Tina,Frazier,F,8/1/2004,7/22/2014,5/31/2014
Christina,Elliott,F,7/23/1996,7/22/2014,7/3/2014
Kelly,Rice,F,8/26/2007,7/22/2014,3/14/2014
Jacqueline,Bishop,F,6/27/1997,7/22/2014,6/13/2014
Kimberly,Sanders,F,1/20/2000,7/22/2014,2/18/2014
Teresa,Fernandez,F,6/19/2001,7/22/2014,1/17/2014
Maria,Larson,F,12/9/2004,7/22/2014,11/11/2013
Lisa,Patterson,F,6/3/2001,7/22/2014,6/8/2014
Jacqueline,Turner,F,12/29/2004,7/22/2014,11/27/2013
Judith,Larson,F,7/13/2002,7/22/2014,4/9/2014
Michelle,Jacobs,F,4/27/2008,7/22/2014,6/24/2014
Jessica,Powell,F,1/31/2005,7/22/2014,3/7/2014
Emily,Richardson,F,7/31/2006,7/22/2014,7/1/2014
Kathleen,Woods,F,9/18/1999,7/22/2014,4/18/2014
Robin,Jacobs,F,2/8/2006,7/22/2014,8/24/2013
Julia,Chavez,F,1/11/2009,7/22/2014,6/15/2014
Nancy,Harper,F,7/21/2003,7/22/2014,4/2/2014
Jessica,Ramos,F,9/27/2004,7/22/2014,4/23/2014
Bonnie,Hudson,F,11/2/1999,7/22/2014,5/16/2014
Mary,Medina,F,3/14/2005,7/22/2014,12/27/2013
Katherine,Banks,F,2/17/2009,7/22/2014,10/27/2013
Tammy,Barnes,F,12/8/2006,7/22/2014,8/14/2013
Patricia,Lewis,F,9/11/2008,7/22/2014,4/18/2014
Annie,Simpson,F,4/25/2009,7/22/2014,9/17/2013
Carol,Garza,F,4/9/2000,7/22/2014,3/25/2014
Robin,Moore,F,4/21/2005,7/22/2014,3/5/2014
Carol,Perkins,F,7/2/2005,7/22/2014,8/20/2013
Ann,Price,F,2/28/2009,7/22/2014,8/22/2013
Anne,Flores,F,1/21/2006,7/22/2014,1/15/2014
Nicole,Stephens,F,10/26/2002,7/22/2014,6/27/2014
Diane,Green,F,9/5/1998,7/22/2014,6/28/2014
Kathleen,Gomez,F,10/26/1998,7/22/2014,1/27/2014
Annie,Rodriguez,F,12/4/2008,7/22/2014,9/16/2013
Nicole,Robertson,F,11/30/2006,7/22/2014,1/18/2014
Rose,Lopez,F,1/4/2003,7/22/2014,12/14/2013
Lisa,Richards,F,8/14/2003,7/22/2014,10/28/2013
Doris,Diaz,F,2/19/2009,7/22/2014,3/29/2014
Cheryl,Hall,F,7/13/2001,7/22/2014,5/28/2014
Rachel,Gilbert,F,7/11/1996,7/22/2014,5/2/2014
Rose,Hanson,F,4/19/1998,7/22/2014,4/7/2014
Betty,Chapman,F,2/9/1997,7/22/2014,8/22/2013
Margaret,Parker,F,10/5/2008,7/22/2014,1/15/2014
Phyllis,Hawkins,F,12/28/2005,7/22/2014,11/12/2013
Melissa,Mendoza,F,2/3/2002,7/22/2014,9/13/2013
Lori,Little,F,10/28/2000,7/22/2014,3/13/2014
Joyce,Ortiz,F,9/9/2003,7/22/2014,8/10/2013
Carol,Simmons,F,2/28/2007,7/22/2014,9/21/2013
Robin,King,F,11/5/2003,7/22/2014,8/14/2013
Rose,Wells,F,12/24/2006,7/22/2014,10/21/2013
Melissa,Crawford,F,4/20/2009,7/22/2014,3/23/2014
Kathy,Castillo,F,8/14/2001,7/22/2014,9/26/2013
Doris,Wells,F,4/14/2004,7/22/2014,1/20/2014
Lillian,Shaw,F,8/9/2005,7/22/2014,7/2/2014
Stephanie,Nguyen,F,9/8/2007,7/22/2014,5/30/2014
Diane,Evans,F,9/13/2008,7/22/2014,1/24/2014
Diana,Ruiz,F,3/24/2000,7/22/2014,7/19/2014
Phyllis,Russell,F,10/19/2002,7/22/2014,1/24/2014
Brenda,Kim,F,6/4/2007,7/22/2014,8/25/2013
Christine,Day,F,5/1/2000,7/22/2014,8/12/2013
Helen,Pierce,F,4/20/1997,7/22/2014,6/8/2014
Marie,Lawrence,F,10/11/2008,7/22/2014,6/8/2014
Doris,Henderson,F,1/6/2008,7/22/2014,4/19/2014
Heather,Perkins,F,2/6/2008,7/22/2014,7/9/2014
Theresa,Ross,F,7/12/2007,7/22/2014,7/10/2014
Julia,Simpson,F,3/19/2002,7/22/2014,1/7/2014
Linda,Howard,F,2/7/2000,7/22/2014,11/28/2013
Julia,Bishop,F,3/23/2002,7/22/2014,12/3/2013
Diane,Gutierrez,F,3/10/2003,7/22/2014,11/18/2013
Diana,Green,F,1/3/2004,7/22/2014,9/18/2013
Virginia,Hughes,F,6/9/1999,7/22/2014,4/22/2014
Lori,Perez,F,6/20/1998,7/22/2014,10/10/2013
Kathleen,Anderson,F,10/27/2001,7/22/2014,1/10/2014
Marie,Fox,F,8/13/2008,7/22/2014,12/20/2013
Jean,Payne,F,6/25/1997,7/22/2014,2/8/2014
Phyllis,Hunt,F,1/30/1998,7/22/2014,11/30/2013
Laura,Cunningham,F,6/30/2000,7/22/2014,4/11/2014
Karen,Bowman,F,8/8/1996,7/22/2014,12/19/2013
Kathleen,Jones,F,5/7/2002,7/22/2014,10/21/2013
Katherine,Payne,F,2/14/2002,7/22/2014,8/2/2013
Rachel,Young,F,3/6/2004,7/22/2014,5/12/2014
Melissa,Davis,F,5/3/1997,7/22/2014,2/14/2014
Stephanie,Hunter,F,11/18/2002,7/22/2014,11/20/2013
Ruth,Lewis,F,3/21/2007,7/22/2014,9/13/2013
Pamela,George,F,9/13/2000,7/22/2014,7/10/2014
Deborah,Fowler,F,1/4/2008,7/22/2014,6/19/2014
Christine,Ray,F,7/27/2002,7/22/2014,12/9/2013
Tammy,Grant,F,8/4/2000,7/22/2014,11/20/2013
