first_name,last_name,gender,date_of_birth,time_entered,time_modified
Michael,Allen,M,6/26/1997,7/22/2014,1/6/2014
Philip,Martinez,M,1/26/2002,7/22/2014,11/25/2013
Joe,Welch,M,3/24/1997,7/22/2014,7/13/2014
Stephen,Wheeler,M,10/20/2000,7/22/2014,3/31/2014
Willie,Crawford,M,10/24/2001,7/22/2014,5/14/2014
Aaron,Mccoy,M,5/9/1996,7/22/2014,12/13/2013
Douglas,Medina,M,11/12/2008,7/22/2014,6/13/2014
Victor,Ray,M,5/22/1997,7/22/2014,11/30/2013
Eugene,Clark,M,12/29/2000,7/22/2014,1/18/2014
Edward,Bowman,M,11/1/2006,7/22/2014,11/2/2013
Gary,White,M,1/1/2008,7/22/2014,5/23/2014
Jeffrey,Carpenter,M,8/30/2006,7/22/2014,11/20/2013
Lawrence,Gutierrez,M,8/14/1997,7/22/2014,4/29/2014
Matthew,Ortiz,M,8/6/1996,7/22/2014,5/16/2014
Wayne,Bishop,M,7/17/2002,7/22/2014,10/5/2013
Carl,Carroll,M,5/31/2007,7/22/2014,9/3/2013
Juan,Campbell,M,12/12/2005,7/22/2014,1/29/2014
Gerald,Fisher,M,7/20/2000,7/22/2014,7/21/2014
Donald,Robinson,M,10/29/1998,7/22/2014,6/22/2014
Howard,Harrison,M,9/24/2001,7/22/2014,7/15/2014
Johnny,Hughes,M,2/16/2008,7/22/2014,7/12/2014
Eric,Black,M,4/10/2006,7/22/2014,5/10/2014
Martin,Johnston,M,1/7/2000,7/22/2014,5/31/2014
Edward,Dean,M,11/14/2005,7/22/2014,2/26/2014
Todd,Campbell,M,8/26/2006,7/22/2014,4/2/2014
Arthur,Grant,M,5/6/1996,7/22/2014,5/9/2014
Justin,Lawrence,M,3/3/2007,7/22/2014,11/26/2013
Gerald,Peterson,M,11/10/2001,7/22/2014,11/30/2013
Clarence,Schmidt,M,10/11/2004,7/22/2014,1/15/2014
Walter,Sullivan,M,9/10/1999,7/22/2014,9/30/2013
Matthew,Harper,M,7/12/2005,7/22/2014,8/9/2013
James,Kim,M,4/14/2000,7/22/2014,1/30/2014
Carlos,Garcia,M,3/3/2008,7/22/2014,10/8/2013
Albert,Howell,M,8/13/2004,7/22/2014,11/5/2013
Clarence,White,M,8/4/1997,7/22/2014,2/14/2014
Henry,Mason,M,12/16/1997,7/22/2014,4/11/2014
Ralph,Alvarez,M,11/24/2007,7/22/2014,10/13/2013
Charles,Burns,M,8/21/2002,7/22/2014,11/4/2013
Donald,Robinson,M,6/6/2004,7/22/2014,5/31/2014
Richard,Stewart,M,5/17/2006,7/22/2014,5/10/2014
Jeffrey,Berry,M,12/28/1996,7/22/2014,8/24/2013
Kenneth,Rice,M,10/19/2003,7/22/2014,11/4/2013
Harold,Myers,M,12/14/1999,7/22/2014,11/5/2013
Willie,Young,M,1/20/2006,7/22/2014,8/28/2013
Craig,White,M,6/21/2005,7/22/2014,10/24/2013
James,Ortiz,M,4/22/2000,7/22/2014,12/22/2013
Raymond,Fernandez,M,12/2/1998,7/22/2014,7/5/2014
Roger,Porter,M,9/7/2002,7/22/2014,3/15/2014
Alan,Dean,M,7/15/1998,7/22/2014,1/2/2014
Russell,Ruiz,M,8/3/1998,7/22/2014,4/19/2014
Jesse,Larson,M,11/5/2002,7/22/2014,4/18/2014
Johnny,Dunn,M,12/24/1999,7/22/2014,3/19/2014
Fred,Baker,M,3/20/1997,7/22/2014,9/8/2013
Steve,Russell,M,9/12/2002,7/22/2014,9/12/2013
Clarence,Nelson,M,9/8/2003,7/22/2014,9/23/2013
Joe,King,M,7/7/2008,7/22/2014,12/15/2013
Eric,Garrett,M,12/27/1998,7/22/2014,12/21/2013
Johnny,Wheeler,M,9/12/2001,7/22/2014,4/18/2014
Michael,Carroll,M,7/26/2004,7/22/2014,8/31/2013
Dennis,Ross,M,10/24/2003,7/22/2014,2/6/2014
Joshua,Garza,M,1/16/2001,7/22/2014,12/10/2013
Chris,Lynch,M,3/16/2004,7/22/2014,12/22/2013
Brian,Wheeler,M,11/18/1999,7/22/2014,1/11/2014
Jerry,Burke,M,1/21/2001,7/22/2014,12/25/2013
Patrick,Moore,M,6/7/2001,7/22/2014,8/24/2013
Dennis,Hicks,M,1/9/2009,7/22/2014,1/20/2014
Scott,Payne,M,9/15/2006,7/22/2014,7/19/2014
Clarence,Ortiz,M,6/1/2006,7/22/2014,12/7/2013
Ryan,Porter,M,11/19/1998,7/22/2014,1/6/2014
Scott,Jenkins,M,4/6/2004,7/22/2014,6/7/2014
Steven,Stone,M,1/6/2008,7/22/2014,4/23/2014
Wayne,Long,M,11/11/1999,7/22/2014,8/6/2013
Nicholas,Perkins,M,6/27/2008,7/22/2014,3/13/2014
Shawn,Parker,M,3/14/1997,7/22/2014,4/23/2014
Brian,Lopez,M,11/18/2003,7/22/2014,7/22/2013
